customer_id,age,tenure_years,account_balance,credit_score,num_products,is_active,estimated_salary,complaints,support_tickets,mobile_logins_30d,overdraft_count_12m,churn
CUST00046,43,10,27467.83,690,3,0,53441.44,1,1,14,0,0
CUST00047,50,2,12162.84,553,3,1,35698.87,1,2,16,2,0
CUST00048,43,3,14595.0,720,2,1,56454.83,1,2,14,1,0
CUST00049,48,3,1390.91,678,4,1,84518.82,0,1,9,2,0
CUST00050,41,9,9954.8,542,2,1,74755.6,0,0,9,3,0
CUST00051,43,0,17217.89,630,2,0,54351.56,0,3,6,2,0
CUST00052,48,9,18938.79,734,3,1,100043.47,0,1,12,0,0
CUST00053,23,8,27495.2,537,2,1,114371.77,0,0,17,1,0
CUST00054,36,5,11410.7,554,2,1,44436.86,1,1,11,0,0
CUST00055,34,6,11798.86,644,2,0,49590.54,1,0,6,1,0
CUST00056,32,9,4919.25,842,2,1,70253.29,0,1,8,1,0
CUST00057,37,8,11459.9,589,1,1,34914.52,1,0,16,1,0
CUST00058,58,3,5186.52,695,4,1,73680.95,1,3,12,0,0
CUST00059,30,0,3341.24,673,1,1,57232.29,0,2,8,0,1
CUST00060,52,7,5920.14,597,2,0,63176.05,1,1,12,1,0
CUST00061,20,1,41419.77,665,1,0,42340.37,0,0,11,1,0
CUST00062,36,0,10906.12,610,2,0,37670.53,0,1,14,1,0
CUST00063,42,10,15754.92,618,2,1,12000.0,1,2,11,0,0
CUST00064,47,5,9089.52,500,2,0,87665.18,0,5,17,1,0
CUST00065,49,7,3488.01,648,2,0,75711.82,0,1,13,0,0
CUST00066,50,2,26959.33,731,1,0,69813.9,0,2,12,1,1
CUST00067,36,1,2619.8,655,1,0,62663.18,3,0,12,0,0
CUST00068,34,0,8812.32,748,1,1,12000.0,1,0,16,1,0
CUST00069,50,3,12823.55,702,2,1,38475.77,0,1,7,0,1
CUST00070,38,0,15880.82,645,3,1,49366.22,0,2,16,0,0
CUST00071,25,4,7747.67,593,1,1,31210.38,0,0,22,1,0
CUST00072,26,3,3366.16,606,2,1,17742.52,1,0,10,2,0
CUST00073,29,5,7325.96,518,1,1,33498.02,0,1,15,0,0
CUST00074,46,6,7619.24,626,3,1,56081.14,1,1,15,1,0
CUST00075,42,3,7481.43,663,4,1,56086.78,2,2,14,0,0
CUST00076,48,5,27654.51,804,2,1,74965.5,1,4,14,0,0
CUST00077,35,0,5376.53,698,1,1,100389.95,0,3,7,0,0
CUST00078,42,3,16742.98,572,2,1,70086.75,1,1,20,0,0
CUST00079,48,10,15043.82,520,4,1,51137.91,0,0,11,0,0
CUST00080,36,10,27456.04,631,1,1,94607.18,0,0,9,2,0
CUST00081,45,5,12090.21,723,2,1,20197.4,0,0,12,1,0
CUST00082,32,10,24181.62,630,3,0,12000.0,1,1,8,0,0
CUST00083,36,5,11740.91,699,2,1,35492.08,0,2,13,1,0
CUST00084,35,1,18504.97,634,2,1,72868.12,1,0,11,0,0
CUST00085,26,9,4327.71,715,2,1,58708.33,0,0,10,0,0
CUST00086,46,4,1846.95,506,3,0,30176.88,0,1,13,1,0
CUST00087,34,6,17732.6,794,2,1,39003.92,1,0,13,1,0
CUST00088,40,7,18460.48,550,3,0,27687.36,0,0,16,0,0
CUST00089,46,3,19084.4,721,2,1,27686.81,0,0,7,0,0
CUST00090,45,8,9011.89,626,2,1,89123.27,0,2,2,2,0
CUST00091,48,5,40834.87,640,3,1,51844.43,2,1,12,0,0
CUST00092,39,4,9462.5,628,2,1,93930.81,0,4,14,0,0
CUST00093,35,3,18318.36,673,1,0,35419.68,0,0,6,2,1
CUST00094,39,8,20868.1,691,1,1,65804.75,0,1,13,1,0
CUST00095,20,2,48487.2,745,3,0,59995.82,0,1,11,0,0
CUST00096,23,1,10532.57,777,2,1,74352.99,0,1,11,1,0
CUST00097,24,9,8185.38,680,1,1,60600.07,0,1,14,1,0
CUST00098,28,3,4343.31,804,3,0,76671.83,1,0,8,1,0
CUST00099,45,7,42799.22,658,3,1,67192.35,0,1,12,1,0
CUST00100,29,7,18325.67,747,3,1,30992.02,0,4,17,0,0
CUST00101,35,9,18765.88,689,2,0,71119.72,0,2,13,2,0
CUST00102,56,6,138348.09,601,4,1,52731.82,0,1,19,1,1
CUST00103,36,7,17047.92,666,3,0,37912.17,0,3,14,1,0
CUST00104,49,9,5030.42,695,1,0,70267.51,1,1,12,1,1
CUST00105,29,10,11534.21,647,4,1,75274.29,0,2,10,0,0
CUST00106,38,0,6431.18,687,2,1,44361.57,0,0,12,0,0
CUST00107,29,8,9927.84,728,3,1,47287.57,0,0,10,1,0
CUST00108,36,1,9877.93,648,2,1,24483.35,1,2,7,2,0
CUST00109,50,9,8601.84,385,2,1,15296.0,1,2,17,0,0
CUST00110,19,0,4698.69,801,1,1,49669.22,0,3,9,0,0
CUST00111,45,2,44107.11,623,1,0,72425.2,0,1,9,1,0
CUST00112,43,2,16716.24,576,1,0,42388.15,0,0,17,0,0
CUST00113,33,6,11281.23,549,2,1,86411.46,0,0,15,0,0
CUST00114,23,0,23581.75,620,3,0,50488.37,0,0,11,0,0
CUST00115,41,0,19021.03,599,1,1,50577.79,0,2,9,0,0
CUST00116,34,5,16428.42,584,1,0,48639.98,1,1,19,0,1
CUST00117,43,10,22331.39,589,2,1,76595.04,0,0,7,3,0
CUST00118,40,5,14771.44,698,1,0,33903.97,1,0,11,1,0
CUST00119,59,4,22085.27,833,1,1,52162.88,0,2,15,0,0
CUST00120,37,7,23501.85,724,1,1,42957.82,0,2,15,1,0
CUST00121,28,6,15093.8,751,2,0,42645.5,0,0,14,0,0
CUST00122,42,4,11324.28,616,2,1,55773.4,0,1,10,1,0
CUST00123,43,6,42099.8,659,3,1,52506.89,0,0,12,1,0
CUST00124,56,0,9335.45,688,1,1,78136.77,1,2,8,1,1
CUST00125,50,2,17916.64,591,1,1,54762.97,0,0,6,0,0
CUST00126,44,7,18222.85,612,2,0,67210.13,0,0,16,1,0
CUST00127,58,3,8457.69,727,4,0,58800.61,0,1,13,2,0
CUST00128,26,0,7289.08,748,1,0,85882.7,0,2,9,1,0
CUST00129,32,1,10245.68,656,3,0,48347.53,0,1,8,2,0
CUST00130,29,9,9235.75,542,2,1,48409.43,0,2,12,0,0
CUST00131,35,3,4475.63,623,3,1,71390.85,0,0,11,1,0
CUST00132,23,0,8195.81,520,2,1,48047.94,0,0,5,1,0
CUST00133,48,8,16312.18,657,1,1,65964.62,0,1,12,0,0
CUST00134,37,5,34525.65,673,1,1,106434.12,0,0,11,2,0
CUST00135,22,4,20247.64,626,2,0,33463.04,0,0,12,0,0
CUST00136,28,9,1901.41,672,3,0,88696.75,0,1,18,1,0
CUST00137,44,3,21611.43,688,2,1,44171.45,0,1,7,1,0
CUST00138,50,6,8790.14,673,1,1,84428.93,0,1,7,1,0
CUST00139,64,8,18766.15,542,1,0,70093.01,0,1,8,2,0
CUST00140,75,6,13218.84,627,2,1,68207.21,0,0,8,0,0
CUST00141,45,2,11562.06,687,3,0,51678.81,2,0,9,0,0
CUST00142,28,7,12373.63,792,2,1,49488.93,0,2,17,0,0
CUST00143,18,8,13136.92,626,2,1,39115.83,1,1,10,0,1
CUST00144,43,1,36618.31,700,2,0,55138.07,0,1,10,0,0
CUST00145,30,1,13164.18,729,3,1,50953.95,0,0,13,1,0
CUST00146,35,7,30156.39,632,3,1,59202.4,0,2,12,0,0
CUST00147,33,1,27036.13,753,1,1,23965.59,0,2,13,0,0
CUST00148,38,9,22032.73,758,2,1,55498.19,0,1,10,1,0
CUST00149,53,1,3498.31,774,3,1,82778.37,0,0,11,1,1
CUST00150,42,10,30867.97,691,3,0,75769.07,0,0,14,0,0
CUST00151,38,7,9476.54,850,2,0,55506.04,0,1,10,2,0
CUST00152,28,4,22852.04,595,1,1,111373.2,0,1,13,0,0
CUST00153,20,2,6442.04,841,2,1,42298.23,0,0,15,0,0
CUST00154,34,3,5492.81,719,2,0,53093.22,0,1,13,2,0
CUST00155,39,8,58823.2,771,1,1,23088.67,0,1,8,0,0
CUST00156,61,8,6517.61,621,4,1,46120.02,1,0,14,0,0
CUST00157,42,2,31557.92,726,1,0,94331.91,0,1,9,0,0
CUST00158,52,5,14600.56,778,3,0,46959.41,0,0,9,1,0
CUST00159,34,10,9748.9,552,2,1,21387.71,0,0,13,0,0
CUST00160,26,2,12918.02,635,1,0,74183.98,0,0,12,0,0
CUST00161,28,7,5035.05,457,2,1,63562.63,0,0,8,1,0
CUST00162,31,1,13222.62,634,2,1,73274.21,1,2,16,0,0
CUST00163,66,9,5930.98,577,3,0,48464.88,0,0,10,0,0
CUST00164,30,1,9931.01,630,2,1,32843.27,1,0,11,1,0
CUST00165,50,3,26741.57,850,1,0,50960.29,0,0,17,2,0
CUST00166,29,5,16165.64,805,3,1,67206.59,0,1,9,1,0
CUST00167,51,4,4395.66,520,2,0,53408.81,0,3,11,1,0
CUST00168,45,1,25301.43,700,1,1,63535.01,0,0,10,0,0
CUST00169,38,7,13288.78,722,3,1,43190.0,1,2,13,0,0
CUST00170,40,0,8896.04,620,1,1,64352.12,0,0,9,1,0
CUST00171,32,10,23388.68,666,1,0,54933.69,0,0,9,1,0
CUST00172,45,0,11785.14,675,2,1,39470.77,0,0,10,1,0
CUST00173,35,3,5573.36,529,2,1,58078.9,1,0,17,0,0
CUST00174,25,10,53415.56,557,2,1,46492.77,0,2,13,1,0
CUST00175,25,1,13187.63,666,3,1,68577.62,0,2,12,0,0
CUST00176,42,0,12568.65,659,1,1,74209.45,1,1,13,0,0
CUST00177,59,8,9859.31,586,4,1,66033.83,0,0,12,1,0
CUST00178,42,0,32369.58,579,1,1,19030.28,0,1,8,2,0
CUST00179,39,9,9012.26,642,1,1,33775.04,0,1,8,0,0
CUST00180,43,4,4193.39,730,1,1,40995.31,0,1,9,1,0
CUST00181,56,9,8030.42,643,1,1,37481.09,0,0,8,1,1
CUST00182,43,2,36137.3,796,2,1,43057.37,2,1,17,0,0
CUST00183,35,1,24936.78,587,3,0,75355.47,0,2,12,0,0
CUST00184,53,10,11034.02,667,3,1,70370.4,1,1,6,0,0
CUST00185,45,8,37419.28,618,2,1,45675.27,0,0,6,0,0
CUST00186,58,10,23410.89,703,1,1,68019.46,2,0,11,1,0
CUST00187,42,3,10938.65,580,3,1,62234.53,0,3,11,0,0
CUST00188,25,4,11796.61,823,2,1,54277.11,0,0,11,0,0
CUST00189,24,6,17102.64,498,2,0,80260.94,2,1,11,1,0
CUST00190,60,4,7158.71,804,2,1,40451.48,0,0,13,2,0
CUST00191,61,2,13404.94,658,1,1,56160.71,0,2,10,0,0
CUST00192,38,4,16837.86,700,2,0,31881.08,0,1,12,1,0
CUST00193,35,6,3769.79,770,3,0,32935.55,0,0,15,0,0
CUST00194,58,0,11591.3,727,1,1,25063.17,1,0,12,2,0
CUST00195,27,3,10643.53,584,2,1,33311.14,1,2,10,3,1
CUST00196,29,3,28884.23,704,4,1,56828.21,0,0,7,1,0
CUST00197,48,0,3349.7,818,1,1,48345.35,0,0,11,1,0
CUST00198,35,1,10035.36,570,2,1,49062.83,0,1,12,1,1
CUST00199,40,5,9308.51,841,2,0,48418.41,1,1,19,0,0
CUST00200,38,1,27448.13,685,3,1,94000.34,1,1,19,1,0
CUST00201,44,3,12930.45,611,2,1,29982.04,1,0,14,1,0
CUST00202,57,6,51383.43,570,2,1,27629.95,0,2,13,1,0
CUST00203,41,9,21953.02,630,1,1,36400.7,0,2,7,0,0
CUST00204,48,1,9821.54,474,4,0,53418.31,0,1,9,0,0
CUST00205,18,4,15990.4,613,3,1,66324.97,0,0,13,1,0
CUST00206,39,1,10244.01,626,2,1,68608.93,2,2,9,0,0
CUST00207,30,4,25451.94,553,4,0,75782.04,0,0,22,4,0
CUST00208,25,5,4918.96,717,2,0,52618.74,0,0,14,1,0
CUST00209,29,8,7202.82,630,4,0,46280.94,1,1,13,3,0
CUST00210,36,4,18802.92,593,1,1,90936.14,0,0,8,2,0
CUST00211,51,10,33500.56,621,1,1,12000.0,0,2,13,0,0
CUST00212,24,1,2561.95,682,3,1,56380.7,0,2,12,3,0
CUST00213,40,0,37453.42,657,2,1,64460.15,0,0,12,0,0
CUST00214,34,0,12026.87,587,1,0,96221.05,0,1,10,2,1
CUST00215,36,3,3252.22,661,2,1,18467.54,0,0,9,0,0
CUST00216,52,2,1406.28,645,2,1,45756.97,1,0,12,0,1
CUST00217,46,1,4242.72,547,1,0,25132.58,2,1,15,0,1
CUST00218,56,2,13163.74,624,2,1,15437.92,0,1,10,1,0
CUST00219,38,10,12715.49,702,2,0,50500.43,0,2,10,1,0
CUST00220,32,8,21480.49,701,1,1,73328.06,1,1,14,2,0
CUST00221,37,0,8847.45,629,1,1,81531.33,1,0,9,1,0
CUST00222,43,10,5819.5,711,2,0,43298.8,0,0,11,1,0
CUST00223,42,2,9800.47,562,2,1,69663.58,0,1,9,0,0
CUST00224,27,4,13700.78,565,2,1,50650.19,0,1,14,0,0
CUST00225,41,3,15884.19,627,2,0,67244.62,0,1,16,1,1
CUST00226,43,4,7391.8,785,2,1,80398.46,0,1,12,0,0
CUST00227,70,8,26267.43,665,1,1,50726.93,1,0,17,0,0
CUST00228,63,7,8382.93,625,2,1,78693.44,0,1,13,1,0
CUST00229,30,6,6958.45,789,1,0,28313.4,1,0,18,0,0
CUST00230,37,6,8894.66,624,2,1,69443.23,0,0,11,0,0
CUST00231,22,8,29915.44,850,1,0,77740.81,0,0,12,0,0
CUST00232,33,2,12093.25,604,2,0,75464.6,0,1,12,1,1
CUST00233,44,4,7935.6,559,2,0,28929.53,0,2,14,0,0
CUST00234,54,1,26757.79,635,3,0,50472.16,0,1,7,3,0
CUST00235,31,7,66640.08,628,2,0,61647.85,0,1,16,0,0
CUST00236,32,4,15634.92,577,3,1,64747.15,0,1,13,1,0
CUST00237,18,7,33704.34,850,2,1,57549.27,0,1,5,0,0
CUST00238,38,6,29058.27,679,1,0,86442.1,0,2,15,1,0
CUST00239,27,3,8482.58,692,1,0,26495.79,0,3,9,2,0
CUST00240,34,1,13629.28,608,1,1,49714.48,0,2,16,3,0
CUST00241,29,10,5105.59,598,1,1,17869.01,1,5,16,0,0
CUST00242,39,3,11456.28,742,1,0,68667.47,2,2,10,0,0
CUST00243,19,1,8352.84,499,1,1,67201.63,0,0,11,1,0
CUST00244,22,3,9875.73,547,2,0,128669.27,0,0,9,0,0
CUST00245,66,9,7612.74,628,2,1,77579.91,0,3,13,1,0
CUST00246,25,2,10771.7,772,1,1,62290.03,2,0,8,2,0
CUST00247,27,10,19913.92,616,2,0,60607.69,1,0,12,0,0
CUST00248,62,5,12214.52,687,1,1,48034.56,0,3,17,1,0
CUST00249,75,9,3300.14,652,2,1,57870.73,1,3,10,0,0
CUST00250,26,7,7634.32,767,2,0,61077.48,2,2,10,0,0
CUST00251,36,0,4274.62,507,1,0,12000.0,0,3,11,0,1
CUST00252,44,5,16043.28,716,1,1,59332.1,1,1,17,1,0
CUST00253,61,4,19486.71,632,4,0,57222.21,0,2,17,1,0
CUST00254,28,2,16194.24,733,2,0,93588.29,0,2,13,0,1
CUST00255,37,6,7401.56,576,2,1,52103.22,0,0,13,0,0
CUST00256,49,1,16076.93,652,1,1,38158.0,0,3,13,0,0
CUST00257,45,7,9390.13,641,1,1,60907.71,0,1,6,1,0
CUST00258,35,9,5689.23,560,1,1,56635.66,2,1,14,2,0
CUST00259,38,1,23305.56,535,4,1,52126.79,0,0,12,1,0
CUST00260,24,5,24674.38,598,1,1,26862.25,0,0,14,0,0
CUST00261,37,7,27219.03,662,1,1,51567.57,0,2,10,0,0
CUST00262,37,0,8465.37,582,4,0,42257.78,0,0,9,1,0
CUST00263,43,4,32354.93,620,2,0,50237.41,1,1,12,2,0
CUST00264,33,2,9226.3,480,1,0,71107.37,2,1,15,1,0
CUST00265,46,0,21810.05,617,2,1,40160.68,2,1,9,0,0
CUST00266,52,8,9107.15,742,2,1,50132.89,0,2,10,0,0
CUST00267,42,4,11293.85,713,4,1,66906.51,1,0,7,1,0
CUST00268,44,8,2173.55,642,1,1,49073.15,0,0,14,2,0
CUST00269,41,6,10652.66,672,2,1,112402.09,0,0,15,1,0
CUST00270,40,9,14304.33,575,1,0,60475.06,0,2,11,1,0
CUST00271,31,10,9822.81,796,3,1,27678.27,0,1,18,1,0
CUST00272,44,6,49868.31,836,3,1,36535.34,0,1,11,0,0
CUST00273,39,3,5586.74,665,3,1,34321.43,0,1,10,0,0
CUST00274,65,4,8754.42,850,3,1,36849.42,1,0,12,3,0
CUST00275,59,9,6777.38,589,2,0,66813.52,0,0,15,1,0
CUST00276,45,4,8753.14,537,1,1,30656.79,0,3,9,1,0
CUST00277,31,5,28956.78,586,1,1,47713.47,3,0,10,4,0
CUST00278,27,2,40478.4,630,1,1,80140.43,0,2,16,0,0
CUST00279,54,10,7898.32,850,2,1,43565.01,0,0,18,1,0
CUST00280,43,7,7767.82,625,1,1,69772.7,0,2,12,1,0
CUST00281,46,3,5609.14,573,2,0,17974.65,0,1,9,0,0
CUST00282,19,6,35586.23,569,2,1,46846.47,0,1,17,1,0
CUST00283,51,4,30969.35,753,4,0,35509.2,0,0,15,0,0
CUST00284,45,1,12338.92,740,2,0,61594.96,0,0,14,1,0
CUST00285,27,9,4688.77,606,2,0,32234.88,0,1,8,0,0
CUST00286,34,9,5014.07,481,2,1,100532.45,1,5,18,0,0
CUST00287,43,9,15183.61,548,4,1,18933.53,0,1,12,2,0
CUST00288,41,4,20171.04,805,2,1,79987.19,0,1,14,1,0
CUST00289,36,2,2836.69,712,1,0,74322.1,0,0,12,0,0
CUST00290,39,0,10498.81,656,1,0,61816.95,1,1,9,1,1
CUST00291,37,8,44968.7,818,4,1,56197.53,0,0,14,2,0
CUST00292,42,3,11348.81,826,2,1,95809.09,1,1,11,0,0
CUST00293,58,9,40832.29,647,3,0,109361.21,0,3,11,2,0
CUST00294,18,9,21737.29,648,2,1,50440.13,0,1,14,1,0
CUST00295,37,1,5924.14,598,2,0,58470.93,0,1,9,0,0
CUST00296,42,10,10726.76,624,2,1,42847.2,0,1,10,0,0
CUST00297,44,1,12130.51,516,3,1,29275.68,1,1,13,0,0
CUST00298,36,5,6539.5,516,3,1,65188.48,0,1,7,0,1
CUST00299,19,5,6454.93,495,1,1,60491.69,0,2,13,1,0
CUST00300,44,10,41360.29,748,1,1,19575.13,0,0,16,0,0
CUST00301,61,7,6418.76,509,1,0,65032.04,0,0,10,2,0
CUST00302,22,9,29996.23,825,2,0,61229.08,1,1,15,1,0
CUST00303,50,6,9629.98,584,3,1,41772.62,1,2,9,1,0
CUST00304,36,9,13105.28,806,3,1,40336.5,0,3,12,0,0
CUST00305,39,9,20361.14,617,2,1,64323.15,0,2,15,0,0
CUST00306,27,9,8527.75,509,1,0,90395.4,0,0,14,0,0
CUST00307,36,4,20453.89,766,2,0,63764.7,0,1,8,2,0
CUST00308,56,4,2878.94,776,3,1,72170.65,0,0,4,0,0
CUST00309,47,10,18578.88,568,2,1,36691.68,2,1,12,1,0
CUST00310,61,8,2097.71,620,1,0,45886.01,0,0,7,1,0
CUST00311,54,10,11269.61,568,1,0,68376.37,0,1,16,1,0
CUST00312,45,6,25353.76,639,2,1,25116.41,0,0,16,1,0
CUST00313,61,10,21305.52,660,2,1,59558.44,0,1,8,1,0
CUST00314,45,7,5045.2,618,3,1,65855.31,1,0,10,1,0
CUST00315,50,8,5556.66,486,3,1,54152.25,1,0,11,1,0
CUST00316,36,1,7970.45,598,1,0,62026.18,0,1,14,2,1
CUST00317,41,6,15362.15,713,1,0,56272.04,2,0,14,0,0
CUST00318,32,8,2910.41,631,2,1,41312.44,0,1,4,1,0
CUST00319,52,8,13227.88,621,1,0,29081.65,0,2,10,0,0
CUST00320,26,10,16874.72,566,2,0,53013.11,0,1,6,1,0
CUST00321,49,3,10804.54,595,1,0,83699.13,1,1,18,0,0
CUST00322,38,3,19810.96,777,1,0,77536.38,1,3,19,0,0
CUST00323,54,10,15800.44,547,3,1,47402.69,0,1,17,0,0
CUST00324,49,10,8899.58,715,1,0,46945.7,0,0,9,0,0
CUST00325,62,1,3127.09,654,3,1,45326.33,1,2,11,1,0
CUST00326,49,4,14765.66,672,1,1,45329.15,0,1,10,0,0
CUST00327,21,10,6536.74,584,1,0,61330.49,1,2,8,1,0
CUST00328,39,2,8658.03,618,1,1,78264.59,1,0,8,1,0
CUST00329,26,8,19136.32,649,1,1,104781.8,1,1,4,1,0
CUST00330,34,1,38676.99,603,1,1,36743.35,0,0,10,1,0
CUST00331,58,1,12983.76,680,3,1,69325.97,0,1,7,0,0
CUST00332,48,8,20242.68,691,3,1,66931.36,0,4,13,0,0
CUST00333,32,6,4521.69,846,1,1,47745.58,0,1,9,1,0
CUST00334,28,6,16060.89,675,1,1,32427.8,0,0,20,0,0
CUST00335,40,9,12772.77,478,1,1,61058.21,0,2,19,0,0
CUST00336,25,3,33587.88,755,2,1,101637.36,0,1,12,1,0
CUST00337,32,5,8907.56,632,1,1,60919.04,1,0,13,2,0
CUST00338,44,6,11145.28,831,1,0,37680.9,0,1,12,0,0
CUST00339,54,8,29558.03,782,3,1,51540.14,1,1,11,1,0
CUST00340,47,3,12468.67,605,3,1,29916.17,1,1,10,1,0
CUST00341,18,6,5816.01,715,2,0,55407.23,0,1,12,1,0
CUST00342,44,4,90556.11,597,1,1,70034.98,1,0,18,0,0
CUST00343,41,5,5949.46,650,2,1,39762.8,0,1,15,1,0
CUST00344,45,9,12726.92,711,1,0,12000.0,0,0,10,0,0
CUST00345,59,4,17326.91,750,2,0,61091.38,0,1,8,2,0
CUST00346,18,7,16329.25,731,2,1,43965.84,0,0,12,0,0
CUST00347,33,10,11587.62,657,1,0,38485.26,1,0,13,1,0
CUST00348,47,8,11631.01,850,3,1,38295.36,0,1,8,2,0
CUST00349,21,10,11201.48,617,2,0,63805.54,0,2,11,0,0
CUST00350,58,6,5785.15,505,2,0,46026.07,0,1,12,1,1
CUST00351,44,3,67014.51,523,1,0,75469.8,0,1,15,1,0
CUST00352,50,10,11327.71,783,1,0,75953.94,0,1,7,1,0
CUST00353,33,7,20904.05,643,1,1,49046.1,0,1,15,2,0
CUST00354,50,2,10394.27,664,2,0,43540.95,0,2,15,2,0
CUST00355,53,3,10238.67,601,1,0,57809.59,2,1,17,0,0
CUST00356,43,2,9494.02,609,1,1,51801.35,0,0,14,1,1
CUST00357,43,9,4178.12,579,2,1,16444.7,0,0,13,1,0
CUST00358,43,1,11843.5,692,2,1,97110.28,0,2,16,0,0
CUST00359,30,8,9845.25,641,2,1,70715.39,1,1,9,0,0
CUST00360,38,6,32165.3,689,2,0,44803.33,0,1,16,1,0
CUST00361,38,0,5445.12,681,2,1,12839.57,1,2,14,1,0
CUST00362,45,6,8665.8,612,2,1,51030.5,0,2,12,3,0
CUST00363,52,8,6810.15,519,1,1,42064.51,0,0,6,2,0
CUST00364,27,7,39414.84,511,1,1,53667.39,0,0,10,1,0
CUST00365,38,5,6960.06,850,2,1,12000.0,0,0,13,2,0
CUST00366,58,3,20368.09,783,1,1,44610.57,0,2,11,1,0
CUST00367,31,1,27656.64,771,2,1,45950.92,0,0,14,1,0
CUST00368,30,0,11972.98,589,2,1,50769.94,0,1,19,0,0
CUST00369,42,3,4757.09,651,1,0,49803.43,0,2,10,2,0
CUST00370,50,6,4802.46,577,2,1,56149.52,0,1,10,0,0
CUST00371,40,0,25458.96,532,2,1,88465.9,1,1,11,2,0
CUST00372,56,10,5190.34,597,2,1,43669.69,1,1,12,0,0
CUST00373,50,6,17926.22,769,3,1,34954.52,1,0,13,0,0
CUST00374,50,3,14556.05,726,1,1,16998.73,0,0,10,0,0
CUST00375,47,10,17727.09,563,1,0,43755.55,0,2,12,0,0
CUST00376,68,2,19028.41,622,1,1,24172.48,0,0,9,0,0
CUST00377,38,10,6632.57,717,2,0,76122.12,0,0,23,2,0
CUST00378,18,3,6427.58,599,1,1,52885.67,0,2,12,0,0
CUST00379,59,4,22838.33,657,3,0,75668.23,0,2,14,1,0
CUST00380,35,4,8333.11,686,1,1,87245.34,0,1,10,0,0
CUST00381,41,10,1698.31,685,2,1,35968.73,0,2,9,0,0
CUST00382,56,2,21732.55,673,2,1,47358.09,0,1,13,1,0
CUST00383,21,10,6141.38,591,1,1,84297.11,0,2,12,2,0
CUST00384,25,3,18965.03,600,2,1,59162.79,0,1,9,2,0
